,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,埼玉西武ライオンズ,143,88,53,2,.624,0,10,8,0,45,24,2,43,29,0,13,12,0,17,8,0,15,10,0,19,6,0,14,9,2,0,0,0
1,福岡ソフトバンクホークス,143,82,60,1,.577,6.5,11,7,0,40,30,1,42,30,0,0,0,0,15,9,1,12,13,0,16,9,0,16,9,0,12,13,0
2,北海道日本ハムファイターズ,143,74,66,3,.529,13.5,10,8,0,40,29,2,34,37,1,13,12,0,15,9,1,0,0,0,13,10,2,13,12,0,10,15,0
3,オリックスバファローズ,143,65,73,5,.471,21.5,11,6,1,33,37,2,32,36,3,9,16,0,14,10,1,12,13,0,10,14,1,0,0,0,9,14,2
4,千葉ロッテマリーンズ,143,59,81,3,.421,28.5,11,7,0,28,43,1,31,38,2,9,15,1,0,0,0,9,15,1,12,13,0,10,14,1,8,17,0
5,東北楽天ゴールデンイーグルス,143,58,82,3,.414,29.5,6,12,0,22,50,0,36,32,3,9,16,0,13,12,0,10,13,2,0,0,0,14,10,1,6,19,0
