,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,東北楽天ゴールデンイーグルス,144,82,59,3,.582,0,15,9,0,42,28,2,40,31,1,12,12,0,14,10,0,16,8,0,0,0,0,16,7,1,9,13,2
1,埼玉西武ライオンズ,144,74,66,4,.529,7.5,11,13,0,42,29,1,32,37,3,8,15,1,14,10,0,15,9,0,13,9,2,13,10,1,0,0,0
2,千葉ロッテマリーンズ,144,74,68,2,.521,8.5,13,10,1,41,29,2,33,39,0,15,9,0,0,0,0,14,10,0,10,14,0,12,11,1,10,14,0
3,福岡ソフトバンクホークス,144,73,69,2,.514,9.5,15,8,1,37,34,1,36,35,1,0,0,0,9,15,0,12,12,0,12,12,0,10,14,0,15,8,1
4,オリックスバファローズ,144,66,73,5,.475,15.0,13,10,1,32,38,2,34,35,3,14,10,0,11,12,1,11,12,1,7,16,1,0,0,0,10,13,1
5,北海道日本ハムファイターズ,144,64,78,2,.451,18.5,13,10,1,35,36,1,29,42,1,12,12,0,10,14,0,0,0,0,8,16,0,12,11,1,9,15,0
