,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,福岡ソフトバンクホークス,144,88,46,10,.657,0,18,4,2,49,20,3,39,26,7,0,0,0,13,10,1,16,7,1,13,10,1,13,10,1,15,5,4
1,北海道日本ハムファイターズ,144,72,65,7,.526,17.5,16,8,0,40,30,2,32,35,5,7,16,1,10,11,3,0,0,0,14,10,0,13,9,2,12,11,1
2,埼玉西武ライオンズ,144,68,67,9,.5037,20.5,12,11,1,39,28,5,29,39,4,5,15,4,11,11,2,11,12,1,14,9,1,15,9,0,0,0,0
3,オリックスバファローズ,144,69,68,7,.5036,20.5,15,7,2,35,33,4,34,35,3,10,13,1,15,8,1,9,13,2,11,12,1,0,0,0,9,15,0
4,東北楽天ゴールデンイーグルス,144,66,71,7,.482,23.5,9,13,2,36,32,4,30,39,3,10,13,1,16,6,2,10,14,0,0,0,0,12,11,1,9,14,1
5,千葉ロッテマリーンズ,144,54,79,11,.406,33.5,8,14,2,27,36,9,27,43,2,10,13,1,0,0,0,11,10,3,6,16,2,8,15,1,11,11,2
