,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,北海道日本ハムファイターズ,143,87,53,3,.621,0,10,8,0,45,24,2,42,29,1,15,9,1,15,9,1,0,0,0,17,8,0,16,8,1,14,11,0
1,福岡ソフトバンクホークス,143,83,54,6,.606,2.5,13,4,1,40,28,3,43,26,3,0,0,0,16,8,1,9,15,1,16,8,1,14,10,1,15,9,1
2,千葉ロッテマリーンズ,143,72,68,3,.514,15.0,12,6,0,38,33,1,34,35,2,8,16,1,0,0,0,9,15,1,16,9,0,14,11,0,13,11,1
3,埼玉西武ライオンズ,143,64,76,3,.457,23.0,9,9,0,34,36,1,30,40,2,9,15,1,11,13,1,11,14,0,11,13,1,13,12,0,0,0,0
4,東北楽天ゴールデンイーグルス,143,62,78,3,.443,25.0,11,7,0,36,35,1,26,43,2,8,16,1,9,16,0,8,17,0,0,0,0,13,11,1,13,11,1
5,オリックスバファローズ,143,57,83,3,.407,30.0,5,13,0,30,40,2,27,43,1,10,14,1,11,14,0,8,16,1,11,13,1,0,0,0,12,13,0
