,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,福岡ソフトバンクホークス,144,76,63,5,.547,0,13,10,1,43,27,2,33,36,3,0,0,0,15,9,0,10,14,0,16,7,1,12,9,3,10,14,0
1,埼玉西武ライオンズ,144,78,65,1,.545,0.0,14,10,0,44,27,1,34,38,0,14,10,0,11,13,0,10,14,0,15,8,1,14,10,0,0,0,0
2,千葉ロッテマリーンズ,144,75,67,2,.528,2.5,13,10,1,44,26,2,31,41,0,9,15,0,0,0,0,13,10,1,11,13,0,16,8,0,13,11,0
3,北海道日本ハムファイターズ,144,74,67,3,.525,3.0,12,11,1,39,32,1,35,35,2,14,10,0,10,13,1,0,0,0,12,12,0,12,11,1,14,10,0
4,オリックスバファローズ,144,69,71,4,.493,7.5,16,8,0,39,31,2,30,40,2,9,12,3,8,16,0,11,12,1,15,9,0,0,0,0,10,14,0
5,東北楽天ゴールデンイーグルス,144,62,79,3,.440,15.0,13,10,1,37,34,1,25,45,2,7,16,1,13,11,0,12,12,0,0,0,0,9,15,0,8,15,1
