,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,福岡ソフトバンクホークス,143,94,49,0,.657,0,12,6,0,52,20,0,42,29,0,0,0,0,18,7,0,17,8,0,13,12,0,18,7,0,16,9,0
1,埼玉西武ライオンズ,143,79,61,3,.564,13.5,10,7,1,44,27,1,35,34,2,9,16,0,16,8,1,17,8,0,16,8,1,11,14,0,0,0,0
2,東北楽天ゴールデンイーグルス,143,77,63,3,.550,15.5,10,8,0,39,30,2,38,33,1,12,13,0,15,9,1,16,9,0,0,0,0,16,8,1,8,16,1
3,オリックスバファローズ,143,63,79,1,.444,30.5,10,8,0,34,37,0,29,42,1,7,18,0,11,14,0,13,12,0,8,16,1,0,0,0,14,11,0
4,北海道日本ハムファイターズ,143,60,83,0,.420,34.0,8,10,0,36,36,0,24,47,0,8,17,0,15,10,0,0,0,0,9,16,0,12,13,0,8,17,0
5,千葉ロッテマリーンズ,143,54,87,2,.383,39.0,6,12,0,28,42,1,26,45,1,7,18,0,0,0,0,10,15,0,9,15,1,14,11,0,8,16,1
