,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,北海道日本ハムファイターズ,144,79,60,5,.568,0,18,5,1,39,30,3,40,30,2,9,14,1,11,11,2,0,0,0,15,9,0,14,10,0,12,11,1
1,千葉ロッテマリーンズ,144,76,61,7,.555,2.0,13,10,1,40,26,6,36,35,1,12,10,2,0,0,0,11,11,2,14,10,0,12,11,1,14,9,1
2,福岡ソフトバンクホークス,144,73,66,5,.525,6.0,11,13,0,39,32,1,34,34,4,0,0,0,10,12,2,14,9,1,10,14,0,14,8,2,14,10,0
3,東北楽天ゴールデンイーグルス,144,67,75,2,.472,13.5,11,12,1,39,32,1,28,43,1,14,10,0,10,14,0,9,15,0,0,0,0,12,11,1,11,13,0
4,西 武ライオンズ,144,66,76,2,.465,14.5,9,15,0,40,32,0,26,44,2,10,14,0,9,14,1,11,12,1,13,11,0,14,10,0,0,0,0
5,オリックスバファローズ,144,62,77,5,.446,17.0,12,11,1,35,33,4,27,44,1,8,14,2,11,12,1,10,14,0,11,12,1,0,0,0,10,14,0
