,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,オリックスバファローズ,143,70,55,18,.560,0,12,5,1,38,22,12,32,33,6,13,11,1,10,10,5,10,11,4,10,10,5,0,0,0,15,8,2
1,千葉ロッテマリーンズ,143,67,57,19,.540,2.5,8,9,1,33,32,7,34,25,12,10,12,3,0,0,0,13,7,5,15,9,1,10,10,5,11,10,4
2,東北楽天ゴールデンイーグルス,143,66,62,15,.516,5.5,9,8,1,31,33,8,35,29,7,11,10,4,9,15,1,12,11,2,0,0,0,10,10,5,15,8,2
3,福岡ソフトバンクホークス,143,60,62,21,.492,8.5,5,9,4,31,29,11,29,33,10,0,0,0,12,10,3,13,6,6,10,11,4,11,13,1,9,13,3
4,北海道日本ハムファイターズ,143,55,68,20,.447,14.0,7,11,0,25,36,10,30,32,10,6,13,6,7,13,5,0,0,0,11,12,2,11,10,4,13,9,3
5,埼玉西武ライオンズ,143,55,70,18,.440,15.0,7,7,4,30,34,7,25,36,11,13,9,3,10,11,4,9,13,3,8,15,2,8,15,2,0,0,0
