,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,埼玉西武ライオンズ,144,76,64,4,.543,0,10,14,0,44,27,1,32,37,3,11,10,3,13,11,0,14,9,1,14,10,0,14,10,0,0,0,0
1,オリックスバファローズ,144,75,68,1,.524,2.5,11,13,0,41,31,0,34,37,1,14,10,0,14,10,0,13,11,0,13,10,1,0,0,0,10,14,0
2,北海道日本ハムファイターズ,144,73,69,2,.514,4.0,14,10,0,41,30,1,32,39,1,17,7,0,12,12,0,0,0,0,10,13,1,11,13,0,9,14,1
3,千葉ロッテマリーンズ,144,73,70,1,.510,4.5,10,14,0,41,30,1,32,40,0,14,10,0,0,0,0,12,12,0,16,7,1,10,14,0,11,13,0
4,東北楽天ゴールデンイーグルス,144,65,76,3,.461,11.5,13,11,0,37,34,1,28,42,2,12,12,0,7,16,1,13,10,1,0,0,0,10,13,1,10,14,0
5,福岡ソフトバンクホークス,144,64,77,3,.454,12.5,15,9,0,36,33,3,28,44,0,0,0,0,10,14,0,7,17,0,12,12,0,10,14,0,10,11,3
