,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,福岡ソフトバンクホークス,144,78,60,6,.565,0,14,8,2,45,24,3,33,36,3,0,0,0,12,10,2,14,10,0,12,12,0,12,11,1,14,9,1
1,オリックスバファローズ,144,80,62,2,.563,0.0,14,10,0,46,26,0,34,36,2,11,12,1,13,11,0,12,12,0,17,7,0,0,0,0,13,10,1
2,北海道日本ハムファイターズ,144,73,68,3,.518,6.5,11,12,1,43,29,0,30,39,3,10,14,0,13,11,0,0,0,0,13,11,0,12,12,0,14,8,2
3,千葉ロッテマリーンズ,144,66,76,2,.465,14.0,12,12,0,37,33,2,29,43,0,10,12,2,0,0,0,11,13,0,10,14,0,11,13,0,12,12,0
4,埼玉西武ライオンズ,144,63,77,4,.450,16.0,11,13,0,31,38,3,32,39,1,9,14,1,12,12,0,8,14,2,13,11,0,10,13,1,0,0,0
5,東北楽天ゴールデンイーグルス,144,64,80,0,.444,17.0,9,15,0,30,42,0,34,38,0,12,12,0,14,10,0,11,13,0,0,0,0,7,17,0,11,13,0
