,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,オリックスバファローズ,143,76,65,2,.539,0,8,10,0,37,34,0,39,31,2,15,10,0,16,9,0,15,9,1,11,13,1,0,0,0,11,14,0
1,福岡ソフトバンクホークス,143,76,65,2,.539,0.0,9,9,0,40,32,0,36,33,2,0,0,0,15,10,0,13,11,1,15,10,0,10,15,0,14,10,1
2,埼玉西武ライオンズ,143,72,68,3,.514,3.5,9,9,0,41,29,2,31,39,1,10,14,1,11,14,0,13,11,1,15,9,1,14,11,0,0,0,0
3,東北楽天ゴールデンイーグルス,143,69,71,3,.493,6.5,9,9,0,30,40,1,39,31,2,10,15,0,12,12,1,16,9,0,0,0,0,13,11,1,9,15,1
4,千葉ロッテマリーンズ,143,69,73,1,.486,7.5,10,8,0,34,36,1,35,37,0,10,15,0,0,0,0,14,11,0,12,12,1,9,16,0,14,11,0
5,北海道日本ハムファイターズ,143,59,81,3,.421,16.5,8,10,0,34,35,3,25,46,0,11,13,1,11,14,0,0,0,0,9,16,0,9,15,1,11,13,1
