,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,北海道日本ハムファイターズ,136,82,54,0,.603,,17,19,0,43,25,0,39,29,0,12,8,0,12,8,0,0,0,0,17,3,0,17,3,0,7,13,0
1,西 武ライオンズ,136,80,54,2,.597,,19,16,1,44,23,1,36,31,1,10,9,1,14,6,0,13,7,0,13,7,0,11,9,0,0,0,0
2,福岡ソフトバンクホークス,136,75,56,5,.573,,20,16,0,36,28,4,39,28,1,0,0,0,15,5,0,8,12,0,12,6,2,11,7,2,9,10,1
3,千葉ロッテマリーンズ,136,65,70,1,.481,,23,13,0,36,32,0,29,38,1,5,15,0,0,0,0,8,12,0,14,5,1,9,11,0,6,14,0
4,オリックスバファローズ,136,52,81,3,.391,,12,24,0,25,43,0,27,38,3,7,11,2,11,9,0,3,17,0,10,9,1,0,0,0,9,11,0
5,東北楽天ゴールデンイーグルス,136,47,85,4,.356,,17,19,0,22,43,3,25,42,1,6,12,2,5,14,1,3,17,0,0,0,0,9,10,1,7,13,0
