,チーム,試　合,勝　利,敗　北,引　分,勝　率,ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,東京ヤクルトスワローズ,18,8,9,1,.471,4,4,1,4,5,0,1,2,0,2,1,0,1,1,1,1,2,0,2,1,0,1,2,0
1,読 売ジャイアンツ,18,7,11,0,.389,5,4,0,2,7,0,0,3,0,0,3,0,1,2,0,1,2,0,3,0,0,2,1,0
2,阪 神タイガース,18,10,8,0,.556,8,1,0,2,7,0,1,2,0,2,1,0,3,0,0,3,0,0,0,3,0,1,2,0
3,広島東洋カープ,18,9,9,0,.500,3,6,0,6,3,0,2,1,0,1,2,0,0,3,0,2,1,0,3,0,0,1,2,0
4,中 日ドラゴンズ,18,7,10,1,.412,3,5,1,4,5,0,1,2,0,2,1,0,1,2,0,1,2,0,1,2,0,1,1,1
5,横浜DeNAベイスターズ,18,3,14,1,.176,2,6,1,1,8,0,1,2,0,1,2,0,0,3,0,0,3,0,1,2,0,0,2,1
