,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対横(勝),対横(負),対横(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,中 日ドラゴンズ,144,75,59,10,.560,0,14,10,0,44,22,6,31,37,4,13,9,2,0,0,0,15,8,1,11,10,3,10,12,2,12,10,2
1,東京ヤクルトスワローズ,144,70,59,15,.543,2.5,10,12,2,42,21,9,28,38,6,10,14,0,10,11,3,15,5,4,0,0,0,12,8,4,13,9,2
2,読 売ジャイアンツ,144,71,62,11,.534,3.5,10,13,1,40,28,4,31,34,7,11,11,2,12,10,2,14,10,0,8,12,4,0,0,0,16,6,2
3,阪 神タイガース,144,68,70,6,.493,9.0,10,14,0,39,31,2,29,39,4,0,0,0,9,13,2,12,10,2,14,10,0,11,11,2,12,12,0
4,広島東洋カープ,144,60,76,8,.441,16.0,6,16,2,32,37,3,28,39,5,12,12,0,10,12,2,17,7,0,9,13,2,6,16,2,0,0,0
5,横 浜ベイスターズ,144,47,86,11,.353,27.5,7,13,4,26,41,5,21,45,6,10,12,2,8,15,1,0,0,0,5,15,4,10,14,0,7,17,0
