,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,東京ヤクルトスワローズ,143,76,65,2,.539,0,8,9,1,45,26,1,31,39,1,12,13,0,13,11,1,17,8,0,0,0,0,12,13,0,14,11,0
1,読 売ジャイアンツ,143,75,67,1,.528,1.5,7,11,0,47,24,0,28,43,1,16,9,0,14,10,1,15,10,0,13,12,0,0,0,0,10,15,0
2,阪 神タイガース,143,70,71,2,.496,6.0,10,8,0,44,27,1,26,44,1,0,0,0,16,9,0,14,11,0,13,12,0,9,16,0,8,15,2
3,広島東洋カープ,143,69,71,3,.493,6.5,9,9,0,37,32,2,32,39,1,15,8,2,9,15,1,10,15,0,11,14,0,15,10,0,0,0,0
4,中 日ドラゴンズ,143,62,77,4,.446,13.0,7,10,1,38,31,3,24,46,1,9,16,0,0,0,0,10,15,0,11,13,1,10,14,1,15,9,1
5,横浜DeNAベイスターズ,143,62,80,1,.437,14.5,3,14,1,36,34,1,26,46,0,11,14,0,15,10,0,0,0,0,8,17,0,10,15,0,15,10,0
