,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,東京ヤクルトスワローズ,143,73,52,18,.584,0,10,8,0,36,29,7,37,23,11,8,13,4,13,6,6,17,6,2,0,0,0,11,11,3,14,8,3
1,阪　神タイガース,143,77,56,10,.579,0.0,11,7,0,36,31,4,41,25,6,0,0,0,14,9,2,14,11,0,13,8,4,13,9,3,12,12,1
2,読　売ジャイアンツ,143,61,62,20,.496,11.0,7,8,3,32,30,10,29,32,10,9,13,3,10,12,3,12,6,7,11,11,3,0,0,0,12,12,1
3,広島東洋カープ,143,63,68,12,.481,13.0,3,12,3,30,34,8,33,34,4,12,12,1,14,9,2,14,9,2,8,14,3,12,12,1,0,0,0
4,中　日ドラゴンズ,143,55,71,17,.437,18.5,9,7,2,33,27,11,22,44,6,9,14,2,0,0,0,10,13,2,6,13,6,12,10,3,9,14,2
5,横浜DeNAベイスターズ,143,54,73,16,.425,20.0,9,6,3,27,37,7,27,36,9,11,14,0,13,10,2,0,0,0,6,17,2,6,12,7,9,14,2
