,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,読　売ジャイアンツ,143,77,64,2,.546,0,11,7,0,39,32,0,38,32,2,15,10,0,13,11,1,14,11,0,14,11,0,0,0,0,10,14,1
1,横浜DeNAベイスターズ,143,71,69,3,.507,5.5,10,7,1,43,28,1,28,41,2,8,16,1,14,11,0,0,0,0,15,10,0,11,14,0,13,11,1
2,阪　神タイガース,143,69,68,6,.504,6.0,6,10,2,39,32,1,30,36,5,0,0,0,10,14,1,16,8,1,14,9,2,10,15,0,13,12,0
3,広島東洋カープ,143,70,70,3,.500,6.5,5,12,1,39,31,1,31,39,2,12,13,0,15,10,0,11,13,1,13,12,0,14,10,1,0,0,0
4,中　日ドラゴンズ,143,68,73,2,.482,9.0,8,10,0,39,31,2,29,42,0,14,10,1,0,0,0,11,14,0,14,11,0,11,13,1,10,15,0
5,東京ヤクルトスワローズ,143,59,82,2,.418,18.0,6,12,0,28,41,2,31,41,0,9,14,2,11,14,0,10,15,0,0,0,0,11,14,0,12,13,0
