,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対横(勝),対横(負),対横(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,中 日ドラゴンズ,146,87,54,5,.617,0,20,15,1,50,22,1,37,32,4,14,7,1,0,0,0,14,6,2,12,10,0,16,6,0,11,10,1
1,阪 神タイガース,146,84,58,4,.592,3.5,21,15,0,49,22,2,35,36,2,0,0,0,7,14,1,18,4,0,13,8,1,11,11,0,14,6,2
2,東京ヤクルトスワローズ,146,70,73,3,.490,18.0,22,14,0,37,35,1,33,38,2,8,13,1,10,12,0,10,11,1,0,0,0,8,14,0,12,9,1
3,読 売ジャイアンツ,146,65,79,2,.451,23.5,13,23,0,38,35,0,27,44,2,11,11,0,6,16,0,11,10,1,14,8,0,0,0,0,10,11,1
4,広島東洋カープ,146,62,79,5,.440,25.0,16,20,0,37,32,4,25,47,1,6,14,2,10,11,1,10,12,0,9,12,1,11,10,1,0,0,0
5,横 浜ベイスターズ,146,58,84,4,.408,29.5,15,21,0,34,36,3,24,48,1,4,18,0,6,14,2,0,0,0,11,10,1,10,11,1,12,10,0
