,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対横(勝),対横(負),対横(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,読 売ジャイアンツ,144,80,63,1,.559,0,15,9,0,43,28,1,37,35,0,9,14,1,12,12,0,16,8,0,14,10,0,0,0,0,14,10,0
1,中 日ドラゴンズ,144,78,64,2,.549,1.5,12,11,1,45,27,0,33,37,2,11,12,1,0,0,0,11,13,0,17,7,0,12,12,0,15,9,0
2,阪 神タイガース,144,74,66,4,.529,4.5,9,14,1,40,30,2,34,36,2,0,0,0,12,11,1,14,10,0,16,8,0,14,9,1,9,14,1
3,横 浜ベイスターズ,144,71,72,1,.497,9.0,14,9,1,41,31,0,30,41,1,10,14,0,13,11,0,0,0,0,11,13,0,8,16,0,15,9,0
4,広島東洋カープ,144,60,82,2,.423,19.5,5,18,1,35,37,0,25,45,2,14,9,1,9,15,0,9,15,0,13,11,0,10,14,0,0,0,0
5,東京ヤクルトスワローズ,144,60,84,0,.417,20.5,11,13,0,38,34,0,22,50,0,8,16,0,7,17,0,13,11,0,0,0,0,10,14,0,11,13,0
