,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,読 売ジャイアンツ,144,82,61,1,.573,0,16,8,0,44,27,1,38,34,0,13,11,0,16,8,0,11,13,0,13,11,0,0,0,0,13,10,1
1,阪 神タイガース,144,75,68,1,.524,7.0,9,15,0,41,30,1,34,38,0,0,0,0,12,11,1,16,8,0,13,11,0,11,13,0,14,10,0
2,広島東洋カープ,144,74,68,2,.521,7.5,9,15,0,42,29,1,32,39,1,10,14,0,14,10,0,15,8,1,16,8,0,10,13,1,0,0,0
3,中 日ドラゴンズ,144,67,73,4,.479,13.5,13,10,1,35,35,2,32,38,2,11,12,1,0,0,0,14,9,1,11,12,1,8,16,0,10,14,0
4,横浜DeNAベイスターズ,144,67,75,2,.472,14.5,13,11,0,34,37,1,33,38,1,8,16,0,9,14,1,0,0,0,16,8,0,13,11,0,8,15,1
5,東京ヤクルトスワローズ,144,60,81,3,.426,21.0,10,12,2,32,39,1,28,42,2,11,13,0,12,11,1,8,16,0,0,0,0,11,13,0,8,16,0
