,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,読 売ジャイアンツ,144,86,43,15,.667,0,17,7,0,50,15,7,36,28,8,15,5,4,11,10,3,17,4,3,11,9,4,0,0,0,15,8,1
1,中 日ドラゴンズ,144,75,53,16,.586,10.5,12,8,4,44,20,8,31,33,8,16,7,1,0,0,0,14,7,3,8,13,3,10,11,3,15,7,2
2,東京ヤクルトスワローズ,144,68,65,11,.511,20.0,9,15,0,32,31,9,36,34,2,12,11,1,13,8,3,13,10,1,0,0,0,9,11,4,12,10,2
3,広島東洋カープ,144,61,71,12,.462,26.5,10,11,3,33,32,7,28,39,5,10,12,2,7,15,2,16,6,2,10,12,2,8,15,1,0,0,0
4,阪 神タイガース,144,55,75,14,.423,31.5,9,12,3,31,36,5,24,39,9,0,0,0,7,16,1,11,10,3,11,12,1,5,15,4,12,10,2
5,横浜DeNAベイスターズ,144,46,85,13,.351,41.0,9,14,1,27,39,6,19,46,7,10,11,3,7,14,3,0,0,0,10,13,1,4,17,3,6,16,2
