,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,東京ヤクルトスワローズ,143,80,59,4,.576,0,14,4,0,37,34,0,43,25,4,13,11,1,10,14,1,16,9,0,0,0,0,11,13,1,16,8,1
1,横浜DeNAベイスターズ,143,73,68,2,.518,8.0,9,9,0,41,30,1,32,38,1,16,9,0,18,6,1,0,0,0,9,16,0,13,11,1,8,17,0
2,阪　神タイガース,143,68,71,4,.489,12.0,12,6,0,37,32,3,31,39,1,0,0,0,13,12,0,9,16,0,11,13,1,14,10,1,9,14,2
3,読　売ジャイアンツ,143,68,72,3,.486,12.5,8,10,0,35,35,2,33,37,1,10,14,1,13,12,0,11,13,1,13,11,1,0,0,0,13,12,0
4,広島東洋カープ,143,66,74,3,.471,14.5,5,13,0,36,33,2,30,41,1,14,9,2,10,15,0,17,8,0,8,16,1,12,13,0,0,0,0
5,中　日ドラゴンズ,143,66,75,2,.468,15.0,7,11,0,37,33,1,29,42,1,12,13,0,0,0,0,6,18,1,14,10,1,12,13,0,15,10,0
