,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対横(勝),対横(負),対横(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,中 日ドラゴンズ,144,79,62,3,.560,0,11,13,0,53,18,1,26,44,2,13,9,2,0,0,0,16,8,0,8,15,1,15,9,0,16,8,0
1,阪 神タイガース,144,78,63,3,.553,1.0,11,12,1,42,27,3,36,36,0,0,0,0,9,13,2,16,8,0,15,9,0,12,12,0,15,9,0
2,読 売ジャイアンツ,144,79,64,1,.552,1.0,12,12,0,46,25,1,33,39,0,12,12,0,9,15,0,16,8,0,12,11,1,0,0,0,18,6,0
3,東京ヤクルトスワローズ,144,72,68,4,.514,6.5,9,14,1,36,35,1,36,33,3,9,15,0,15,8,1,14,9,1,0,0,0,11,12,1,14,10,0
4,広島東洋カープ,144,58,84,2,.408,21.5,10,12,2,31,41,0,27,43,2,9,15,0,8,16,0,15,9,0,10,14,0,6,18,0,0,0,0
5,横 浜ベイスターズ,144,48,95,1,.336,32.0,6,18,0,26,45,1,22,50,0,8,16,0,8,16,0,0,0,0,9,14,1,8,16,0,9,15,0
