,チーム,試　合,勝　利,敗　北,引　分,勝　率,ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,読　売ジャイアンツ,18,11,7,0,.611,5,4,0,6,3,0,1,2,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0
1,横浜DeNAベイスターズ,18,10,7,1,.588,6,3,0,4,4,1,1,1,1,2,1,0,2,1,0,2,1,0,1,2,0,2,1,0
2,阪　神タイガース,18,6,10,2,.375,3,6,0,3,4,2,1,1,1,2,1,0,1,2,0,0,3,0,0,2,1,2,1,0
3,広島東洋カープ,18,5,12,1,.294,2,7,0,3,5,1,1,2,0,1,2,0,0,2,1,2,1,0,0,3,0,1,2,0
4,中　日ドラゴンズ,18,8,10,0,.444,4,5,0,4,5,0,0,3,0,2,1,0,3,0,0,1,2,0,2,1,0,0,3,0
5,東京ヤクルトスワローズ,18,6,12,0,.333,3,6,0,3,6,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
