,チーム,試　合,勝　利,敗　北,引　分,勝　率,ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,読 売ジャイアンツ,24,13,10,1,.565,7,4,1,6,6,0,2,2,0,1,3,0,2,2,0,2,2,0,3,0,1,3,1,0
1,阪 神タイガース,24,12,11,1,.522,7,5,0,5,6,1,2,2,0,3,0,1,3,1,0,0,4,0,1,3,0,3,1,0
2,広島東洋カープ,24,11,13,0,.458,7,5,0,4,8,0,2,2,0,1,3,0,0,4,0,3,1,0,1,3,0,4,0,0
3,中 日ドラゴンズ,24,10,13,1,.435,7,4,1,3,9,0,0,3,1,1,3,0,3,1,0,2,2,0,2,2,0,2,2,0
4,横浜DeNAベイスターズ,24,7,17,0,.292,1,11,0,6,6,0,1,3,0,1,3,0,2,2,0,1,3,0,1,3,0,1,3,0
5,東京ヤクルトスワローズ,24,7,16,1,.304,5,7,0,2,9,1,1,3,0,3,1,0,0,3,1,1,3,0,2,2,0,0,4,0
