,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,読 売ジャイアンツ,144,84,53,7,.613,0,13,10,1,46,21,5,38,32,2,12,11,1,13,10,1,18,5,1,14,9,1,0,0,0,14,8,2
1,阪 神タイガース,144,73,67,4,.521,12.5,12,11,1,36,33,3,37,34,1,0,0,0,12,11,1,10,14,0,16,7,1,11,12,1,12,12,0
2,広島東洋カープ,144,69,72,3,.489,17.0,11,13,0,34,37,1,35,35,2,12,12,0,13,11,0,13,11,0,12,11,1,8,14,2,0,0,0
3,中 日ドラゴンズ,144,64,77,3,.454,22.0,10,13,1,29,42,1,35,35,2,11,12,1,0,0,0,11,13,0,11,13,0,10,13,1,11,13,0
4,横浜DeNAベイスターズ,144,64,79,1,.448,23.0,7,17,0,28,44,0,36,35,1,14,10,0,13,11,0,0,0,0,14,10,0,5,18,1,11,13,0
5,東京ヤクルトスワローズ,144,57,83,4,.407,28.5,7,16,1,33,38,1,24,45,3,7,16,1,13,11,0,10,14,0,0,0,0,9,14,1,11,12,1
