,チーム,試　合,勝　利,敗　北,引　分,勝　率,ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,読 売ジャイアンツ,24,17,7,0,.708,9,3,0,8,4,0,4,0,0,2,2,0,2,2,0,3,1,0,3,1,0,3,1,0
1,中 日ドラゴンズ,24,12,8,4,.600,8,1,3,4,7,1,2,2,0,0,3,1,2,0,2,3,1,0,3,0,1,2,2,0
2,東京ヤクルトスワローズ,24,9,15,0,.375,3,9,0,6,6,0,3,1,0,1,3,0,2,2,0,2,2,0,1,3,0,0,4,0
3,広島東洋カープ,24,10,11,3,.476,6,4,2,4,7,1,0,3,1,1,1,2,2,2,0,2,2,0,2,2,0,3,1,0
4,阪 神タイガース,24,9,12,3,.429,4,7,1,5,5,2,2,1,1,2,0,2,0,4,0,1,3,0,2,2,0,2,2,0
5,横浜DeNAベイスターズ,24,9,14,1,.391,4,7,1,5,7,0,2,1,1,1,3,0,0,4,0,3,1,0,2,2,0,1,3,0
