,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,広島東洋カープ,143,82,59,2,.582,0,7,11,0,45,25,2,37,34,0,15,10,0,11,14,0,13,11,1,19,6,0,17,7,1,0,0,0
1,東京ヤクルトスワローズ,143,75,66,2,.532,7.0,12,6,0,41,30,0,34,36,2,15,10,0,14,10,1,15,10,0,0,0,0,13,11,1,6,19,0
2,読　売ジャイアンツ,143,67,71,5,.486,13.5,8,10,0,33,38,1,34,33,4,16,8,1,16,8,1,9,15,1,11,13,1,0,0,0,7,17,1
3,横浜DeNAベイスターズ,143,67,74,2,.475,15.0,8,10,0,33,38,1,34,36,1,8,17,0,15,10,0,0,0,0,10,15,0,15,9,1,11,13,1
4,中　日ドラゴンズ,143,63,78,2,.447,19.0,7,11,0,36,33,2,27,45,0,14,11,0,0,0,0,10,15,0,10,14,1,8,16,1,14,11,0
5,阪　神タイガース,143,62,79,2,.440,20.0,6,11,1,27,42,2,35,37,0,0,0,0,11,14,0,17,8,0,10,15,0,8,16,1,10,15,0
