,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対横(勝),対横(負),対横(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,読 売ジャイアンツ,144,89,46,9,.659,0,12,9,3,48,20,4,41,26,5,11,11,2,16,8,0,18,6,0,18,5,1,0,0,0,14,7,3
1,中 日ドラゴンズ,144,81,62,1,.566,12.0,14,9,1,42,29,1,39,33,0,14,10,0,0,0,0,18,6,0,11,13,0,8,16,0,16,8,0
2,東京ヤクルトスワローズ,144,71,72,1,.497,22.0,15,9,0,39,33,0,32,39,1,15,9,0,13,11,0,11,13,0,0,0,0,5,18,1,12,12,0
3,阪 神タイガース,144,67,73,4,.479,24.5,9,13,2,38,33,1,29,40,3,0,0,0,10,14,0,15,9,0,9,15,0,11,11,2,13,11,0
4,広島東洋カープ,144,65,75,4,.464,26.5,14,9,1,33,38,1,32,37,3,11,13,0,8,16,0,13,11,0,12,12,0,7,14,3,0,0,0
5,横 浜ベイスターズ,144,51,93,0,.354,42.5,6,18,0,27,45,0,24,48,0,9,15,0,6,18,0,0,0,0,13,11,0,6,18,0,11,13,0
