,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対デ(勝),対デ(負),対デ(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,広島東洋カープ,143,88,51,4,.633,0,12,6,0,50,20,1,38,31,3,14,10,1,15,8,2,12,13,0,17,7,1,18,7,0,0,0,0
1,阪　神タイガース,143,78,61,4,.561,10.0,10,8,0,41,29,2,37,32,2,0,0,0,16,9,0,14,10,1,18,7,0,10,13,2,10,14,1
2,横浜DeNAベイスターズ,143,73,65,5,.529,14.5,9,9,0,38,29,4,35,36,1,10,14,1,15,7,3,0,0,0,17,8,0,9,15,1,13,12,0
3,読　売ジャイアンツ,143,72,68,3,.514,16.5,6,12,0,38,33,0,34,35,3,13,10,2,14,11,0,15,9,1,17,8,0,0,0,0,7,18,0
4,中　日ドラゴンズ,143,59,79,5,.428,28.5,9,9,0,37,32,3,22,47,2,9,16,0,0,0,0,7,15,3,15,10,0,11,14,0,8,15,2
5,東京ヤクルトスワローズ,143,45,96,2,.319,44.0,5,12,1,30,40,2,15,56,0,7,18,0,10,15,0,8,17,0,0,0,0,8,17,0,7,17,1
