,チーム,試　合,勝　利,敗　北,引　分,勝　率,差,交流戦(勝),交流戦(負),交流戦(引),ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対神(勝),対神(負),対神(引),対中(勝),対中(負),対中(引),対横(勝),対横(負),対横(引),対ヤ(勝),対ヤ(負),対ヤ(引),対巨(勝),対巨(負),対巨(引),対広(勝),対広(負),対広(引)
0,阪 神タイガース,146,87,54,5,.617,0,21,13,2,42,26,5,45,28,0,0,0,0,11,11,0,13,6,3,12,10,0,14,8,0,16,6,0
1,中 日ドラゴンズ,146,79,66,1,.545,10.0,15,21,0,42,31,0,37,35,1,11,11,0,0,0,0,13,8,1,12,10,0,14,8,0,14,8,0
2,横 浜ベイスターズ,146,69,70,7,.496,17.0,19,17,0,39,32,2,30,38,5,6,13,3,8,13,1,0,0,0,11,10,1,16,6,0,9,11,2
3,ヤクルトスワローズ,146,71,73,2,.493,17.5,20,16,0,40,33,0,31,40,2,10,12,0,10,12,0,10,11,1,0,0,0,10,12,0,11,10,1
4,読 売ジャイアンツ,146,62,80,4,.437,25.5,18,14,4,34,38,1,28,42,3,8,14,0,8,14,0,6,16,0,12,10,0,0,0,0,10,12,0
5,広島東洋カープ,146,58,84,4,.408,29.5,11,24,1,31,39,3,27,45,1,6,16,0,8,14,0,11,9,2,10,11,1,12,10,0,0,0,0
