,チーム,試　合,勝　利,敗　北,引　分,勝　率,ホ｜ム(勝),ホ｜ム(負),ホ｜ム(引),ロ｜ド(勝),ロ｜ド(負),ロ｜ド(引),対ソ(勝),対ソ(負),対ソ(引),対ロ(勝),対ロ(負),対ロ(引),対日(勝),対日(負),対日(引),対楽(勝),対楽(負),対楽(引),対オ(勝),対オ(負),対オ(引),対西(勝),対西(負),対西(引)
0,読 売ジャイアンツ,24,12,9,3,.571,9,3,0,3,6,3,1,3,0,1,1,2,2,2,0,4,0,0,2,2,0,2,1,1
1,中 日ドラゴンズ,24,14,9,1,.609,8,3,1,6,6,0,1,3,0,2,1,1,3,1,0,2,2,0,4,0,0,2,2,0
2,東京ヤクルトスワローズ,24,15,9,0,.625,9,3,0,6,6,0,1,3,0,3,1,0,2,2,0,3,1,0,4,0,0,2,2,0
3,阪 神タイガース,24,9,13,2,.409,7,5,0,2,8,2,1,2,1,1,3,0,1,2,1,2,2,0,3,1,0,1,3,0
4,広島東洋カープ,24,14,9,1,.609,9,3,0,5,6,1,1,3,0,3,1,0,2,2,0,3,1,0,3,1,0,2,1,1
5,横 浜ベイスターズ,24,6,18,0,.250,4,8,0,2,10,0,0,4,0,2,2,0,1,3,0,1,3,0,0,4,0,2,2,0
