,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2018,東京ヤクルト,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,69.0,15,14.0,4.0,8.0,2.0,20.0,0.0,0.0,10.0,5.0,3.0
1,2019,東京ヤクルト,20.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,438.0,95.1,99.0,14.0,53.0,8.0,99.0,5.0,0.0,68.0,61.0,5.76
2,2020,東京ヤクルト,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,212.0,48,47.0,6.0,21.0,4.0,51.0,1.0,0.0,24.0,21.0,3.94
3,nan,通　算,33.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,719.0,158.1,160.0,24.0,82.0,14.0,170.0,6.0,0.0,102.0,87.0,4.95
