,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2018,東京ヤクルト,26,48,41,3,9,1,0,0,10,6,0,0,1,1,5,0,11,1,0.22,0.244,0.298
1,2019,東京ヤクルト,26,47,42,5,6,0,0,0,6,0,2,1,1,0,4,0,19,2,0.14300000000000002,0.14300000000000002,0.217
2,2020,東京ヤクルト,94,171,146,16,40,8,0,2,54,12,3,1,5,0,18,2,23,3,0.27399999999999997,0.37,0.361
3,nan,通　算,146,266,229,24,55,9,0,2,70,18,5,2,7,1,27,2,53,6,0.24,0.306,0.324
