,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,東京ヤクルト,14,36,32,5,5,1,0,1,9,5,0,0,0,0,4,0,6,0,0.156,0.281,0.25
1,2015,東京ヤクルト,26,48,44,9,13,3,1,1,21,5,1,0,1,0,3,0,12,0,0.295,0.47700000000000004,0.34
2,2016,東京ヤクルト,72,273,247,21,63,12,0,7,96,28,9,3,2,1,23,0,54,3,0.255,0.389,0.317
3,2017,東京ヤクルト,72,171,144,9,30,6,0,0,36,8,3,0,8,2,16,1,31,5,0.20800000000000002,0.25,0.28800000000000003
4,2018,東京ヤクルト,138,550,479,57,116,28,0,10,174,55,1,2,20,3,40,8,88,10,0.242,0.363,0.309
5,2019,東京ヤクルト,44,162,149,17,35,9,0,4,56,19,0,0,2,0,10,1,35,6,0.235,0.376,0.28800000000000003
6,2020,東京ヤクルト,101,310,286,24,70,10,0,10,110,43,4,2,4,2,16,2,74,11,0.245,0.385,0.28800000000000003
7,2021,東京ヤクルト,92,276,242,27,54,9,0,5,78,24,1,1,4,3,24,3,60,8,0.223,0.322,0.298
8,nan,通　算,559,1826,1623,169,386,78,1,38,580,187,19,8,41,11,136,15,360,43,0.23800000000000002,0.35700000000000004,0.301
