,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2021,東京ヤクルト,97,235,208,20,53,1,3,3,69,17,2,1,5,1,17,4,42,7,0.255,0.332,0.322
1,2022,東京ヤクルト,13,28,27,4,4,3,0,1,10,2,0,0,1,0,0,0,5,2,0.14800000000000002,0.37,0.14800000000000002
2,nan,通　算,110,263,235,24,57,4,3,4,79,19,2,1,6,1,17,4,47,9,0.243,0.336,0.304
