,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2015,北海道日本ハム,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,7.1,5.0,1.0,3.0,1.0,7.0,0.0,1.0,5.0,3.0,3.68
1,2016,北海道日本ハム,37.0,10.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.833,439.0,109.2,79.0,6.0,36.0,4.0,86.0,0.0,0.0,30.0,29.0,2.38
2,2017,北海道日本ハム,22.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,504.0,117.1,110.0,13.0,40.0,3.0,100.0,6.0,1.0,51.0,48.0,3.68
3,2018,北海道日本ハム,18.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41700000000000004,459.0,110,110.0,21.0,28.0,3.0,78.0,2.0,0.0,61.0,55.0,4.5
4,2019,東京ヤクルト,21.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41700000000000004,358.0,78,90.0,13.0,34.0,4.0,82.0,7.0,0.0,56.0,54.0,6.23
5,2020,東京ヤクルト,18.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,412.0,94,101.0,11.0,38.0,0.0,84.0,3.0,0.0,43.0,43.0,4.12
6,2021,東京ヤクルト,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,264.0,62,62.0,11.0,15.0,3.0,56.0,1.0,0.0,28.0,25.0,3.63
7,nan,通　算,130.0,34.0,31.0,0.0,1.0,5.0,3.0,2.0,1.0,0.523,2467.0,578.1,557.0,76.0,194.0,18.0,493.0,19.0,2.0,274.0,257.0,4.0
