,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2016,読　売,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.2,4.0,1.0,3.0,0.0,4.0,0.0,0.0,4.0,4.0,9.82
1,2017,横浜DeNA,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,71.0,14,21.0,4.0,9.0,1.0,6.0,0.0,0.0,16.0,11.0,7.07
2,2018,横浜DeNA,13.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,284.0,67,65.0,9.0,29.0,0.0,53.0,2.0,0.0,29.0,26.0,3.49
3,2019,横浜DeNA,15.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,289.0,70,68.0,9.0,17.0,0.0,55.0,0.0,1.0,34.0,32.0,4.11
4,2020,横浜DeNA,14.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,335.0,83.1,75.0,3.0,17.0,2.0,65.0,0.0,0.0,24.0,21.0,2.27
5,2021,横浜DeNA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,10,6.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,0.9
6,nan,通　算,49.0,15.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.441,1036.0,248,239.0,26.0,78.0,3.0,189.0,2.0,1.0,108.0,95.0,3.45
