,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2015,横浜DeNA,102,265,245,11,51,4,0,2,61,20,0,0,7,1,10,2,60,8,0.20800000000000002,0.249,0.244
1,2016,横浜DeNA,141,566,534,38,157,19,2,1,183,38,2,3,5,3,22,2,98,13,0.294,0.34299999999999997,0.32299999999999995
2,2017,横浜DeNA,143,539,507,49,133,27,1,2,168,50,3,1,9,1,18,4,102,10,0.262,0.331,0.292
3,2018,横浜DeNA,85,235,228,11,53,7,0,1,63,14,1,2,0,1,6,0,51,5,0.23199999999999998,0.276,0.251
4,2019,横浜DeNA,24,35,33,1,4,1,0,0,5,2,0,1,0,0,2,0,7,0,0.121,0.152,0.171
5,2020,横浜DeNA,82,216,199,19,55,4,0,1,62,17,0,0,0,0,16,1,42,2,0.276,0.312,0.33299999999999996
6,2021,横浜DeNA,46,74,72,5,15,0,0,0,15,6,0,0,0,0,2,0,17,2,0.20800000000000002,0.20800000000000002,0.23
7,nan,通　算,623,1930,1818,134,468,62,3,7,557,147,6,7,21,6,76,9,377,40,0.257,0.306,0.29
