,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2015,横浜DeNA,58.0,2.0,4.0,37.0,7.0,9.0,0.0,0.0,0.0,0.33299999999999996,215.0,56.1,38.0,2.0,11.0,1.0,66.0,4.0,1.0,13.0,12.0,1.92
1,2016,横浜DeNA,59.0,2.0,5.0,33.0,7.0,9.0,0.0,0.0,0.0,0.28600000000000003,252.0,57.2,57.0,7.0,23.0,0.0,61.0,2.0,0.0,27.0,23.0,3.59
2,2017,横浜DeNA,68.0,4.0,2.0,26.0,15.0,19.0,0.0,0.0,0.0,0.667,260.0,65.2,52.0,3.0,13.0,1.0,84.0,1.0,0.0,16.0,12.0,1.64
3,2018,横浜DeNA,57.0,2.0,4.0,37.0,3.0,5.0,0.0,0.0,0.0,0.33299999999999996,226.0,56.1,40.0,5.0,18.0,1.0,63.0,1.0,0.0,18.0,17.0,2.72
4,2019,横浜DeNA,61.0,3.0,2.0,30.0,4.0,7.0,0.0,0.0,0.0,0.6,243.0,60,44.0,6.0,19.0,0.0,54.0,0.0,0.0,18.0,13.0,1.95
5,2020,横浜DeNA,40.0,0.0,3.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,176.0,38,52.0,4.0,14.0,0.0,31.0,1.0,0.0,26.0,24.0,5.68
6,nan,通　算,343.0,13.0,20.0,169.0,44.0,57.0,0.0,0.0,0.0,0.39399999999999996,1372.0,334,283.0,27.0,98.0,3.0,359.0,9.0,1.0,118.0,101.0,2.72
