,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2018,読　売,99,261,228,20,55,6,3,2,73,12,6,0,10,0,23,0,41,7,0.24100000000000002,0.32,0.311
1,2019,読　売,62,176,156,17,35,7,0,4,54,14,2,0,4,2,14,0,36,2,0.22399999999999998,0.34600000000000003,0.285
2,2020,読　売,48,78,68,7,18,2,1,1,25,6,2,0,0,1,8,1,15,0,0.265,0.368,0.34600000000000003
3,2021,横浜DeNA,58,60,48,10,7,0,0,0,7,8,0,1,3,2,7,0,16,0,0.146,0.146,0.24600000000000002
4,2022,横浜DeNA,19,19,19,0,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0.158,0.158,0.158
5,nan,通　算,286,594,519,54,118,15,4,7,162,41,10,1,17,5,52,1,111,9,0.22699999999999998,0.312,0.29600000000000004
