,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2020,横浜DeNA,65,269,238,36,68,14,1,20,144,56,0,0,0,1,29,1,69,4,0.28600000000000003,0.605,0.364
1,2021,横浜DeNA,107,439,373,60,113,25,1,28,224,74,1,0,0,1,60,5,111,9,0.303,0.601,0.405
2,2022,横浜DeNA,38,38,32,3,5,2,0,1,10,3,0,0,0,0,6,0,14,1,0.156,0.313,0.289
3,nan,通　算,210,746,643,99,186,41,2,49,378,133,1,0,0,2,95,6,194,14,0.289,0.588,0.385
