,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2019,横浜DeNA,15.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,302.0,66.2,81.0,7.0,25.0,2.0,54.0,1.0,0.0,38.0,37.0,5.0
1,2020,横浜DeNA,19.0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.625,452.0,113.2,96.0,13.0,29.0,3.0,81.0,0.0,1.0,34.0,32.0,2.53
2,2021,横浜DeNA,22.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,499.0,112,137.0,9.0,30.0,3.0,106.0,3.0,0.0,57.0,54.0,4.34
3,2022,横浜DeNA,24.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,562.0,136.2,126.0,13.0,36.0,8.0,118.0,4.0,0.0,48.0,42.0,2.77
4,nan,通　算,80.0,33.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5589999999999999,1815.0,429,440.0,42.0,120.0,16.0,359.0,8.0,1.0,177.0,165.0,3.46
