,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2021,北海道日本ハム,9,26,25,2,5,0,0,0,5,0,0,1,0,0,1,0,12,0,0.2,0.2,0.231
1,2022,北海道日本ハム,20,48,41,5,7,1,2,0,12,2,0,0,3,0,4,0,14,1,0.171,0.293,0.244
2,nan,通　算,29,74,66,7,12,1,2,0,17,2,0,1,3,0,5,0,26,1,0.182,0.258,0.239
