,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,北海道日本ハム,1,4,4,1,1,0,1,0,3,3,0,0,0,0,0,0,1,0,0.25,0.75,0.25
1,2015,北海道日本ハム,27,31,28,1,6,2,0,0,8,3,0,0,0,2,1,0,9,0,0.214,0.28600000000000003,0.226
2,2016,北海道日本ハム,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,2018,北海道日本ハム,32,57,50,4,11,3,0,0,14,3,0,0,2,0,4,1,16,1,0.22,0.28,0.29100000000000004
4,2019,北海道日本ハム,46,86,75,3,15,3,0,0,18,3,0,0,9,0,2,0,29,2,0.2,0.24,0.221
5,2020,北海道日本ハム,17,22,21,0,3,1,0,0,4,1,0,0,1,0,0,0,8,0,0.14300000000000002,0.19,0.14300000000000002
6,2021,北海道日本ハム,60,123,108,6,20,2,0,0,22,7,0,1,11,0,4,0,21,3,0.185,0.204,0.214
7,nan,通　算,184,323,286,15,56,11,1,0,69,20,0,1,23,2,11,1,84,6,0.196,0.24100000000000002,0.22699999999999998
