,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2017,北海道日本ハム,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2018,北海道日本ハム,7,9,9,0,3,1,0,0,4,0,0,0,0,0,0,0,2,0,0.33299999999999996,0.444,0.33299999999999996
2,2019,北海道日本ハム,73,184,165,20,39,9,2,1,55,16,2,1,5,1,10,3,26,3,0.23600000000000002,0.33299999999999996,0.29100000000000004
3,2020,北海道日本ハム,52,180,158,18,36,6,2,0,46,6,1,2,6,0,12,4,24,5,0.228,0.29100000000000004,0.299
4,nan,通　算,136,381,340,38,78,16,4,1,105,22,3,3,11,1,22,7,53,8,0.22899999999999998,0.309,0.289
