,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2019,中　日,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,140.0,34.2,28.0,3.0,11.0,3.0,34.0,2.0,0.0,9.0,9.0,2.34
1,2020,中　日,7.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,184.0,43.1,39.0,4.0,19.0,1.0,43.0,1.0,0.0,22.0,18.0,3.74
2,2021,中　日,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.1,6.0,0.0,10.0,2.0,7.0,1.0,0.0,3.0,2.0,1.59
3,nan,通　算,16.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.545,375.0,89.1,73.0,7.0,40.0,6.0,84.0,4.0,0.0,34.0,29.0,2.92
