,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2018,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2019,中　日,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,194.0,45.1,39.0,4.0,24.0,1.0,27.0,3.0,0.0,15.0,15.0,2.98
2,2020,中　日,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,133.0,29,31.0,4.0,17.0,1.0,25.0,0.0,0.0,20.0,18.0,5.59
3,nan,通　算,19.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,335.0,76.1,71.0,8.0,43.0,2.0,55.0,3.0,0.0,35.0,33.0,3.89
