,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2016,中　日,9,19,18,1,5,2,0,1,10,2,0,0,0,0,1,0,6,1,0.278,0.556,0.316
1,2017,中　日,51,94,78,4,15,5,0,0,20,4,0,0,4,1,10,1,21,4,0.192,0.256,0.289
2,2018,中　日,16,28,25,4,3,1,0,1,7,2,0,0,0,0,3,0,9,0,0.12,0.28,0.214
3,2019,中　日,39,98,88,5,20,6,0,2,32,8,0,0,1,1,5,3,22,2,0.22699999999999998,0.364,0.289
4,2020,中　日,88,269,251,19,67,14,1,6,101,32,0,0,5,0,12,1,49,1,0.267,0.402,0.303
5,nan,通　算,203,508,460,33,110,28,1,10,170,48,0,0,10,2,31,5,107,8,0.239,0.37,0.293
