,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2017,阪　神,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2018,阪　神,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8,5.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.25
2,2019,オリックス,10.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,234.0,54,63.0,5.0,17.0,5.0,37.0,1.0,0.0,28.0,27.0,4.5
3,2020,オリックス,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,9,8.0,0.0,5.0,1.0,3.0,0.0,0.0,5.0,3.0,3.0
4,2021,オリックス,17.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,207.0,48.2,48.0,4.0,19.0,1.0,26.0,0.0,0.0,26.0,24.0,4.44
5,2022,オリックス,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,26,27.0,1.0,10.0,0.0,20.0,2.0,0.0,13.0,11.0,3.81
6,nan,通　算,38.0,10.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.7140000000000001,622.0,146.2,151.0,10.0,52.0,7.0,89.0,3.0,0.0,74.0,67.0,4.11
