,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2020,オリックス,5,18,17,1,4,0,0,0,4,2,0,0,0,0,1,0,4,1,0.235,0.235,0.278
1,2021,オリックス,136,473,448,37,102,22,2,10,158,48,2,1,6,4,12,3,101,11,0.228,0.353,0.251
2,2022,オリックス,130,495,450,35,101,20,2,6,143,32,2,2,10,2,26,6,71,14,0.22399999999999998,0.318,0.275
3,nan,通　算,271,986,915,73,207,42,4,16,305,82,4,3,16,6,39,9,176,26,0.226,0.33299999999999996,0.263
