,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2020,オリックス,87,338,302,29,78,12,0,12,126,43,1,0,0,2,32,2,66,9,0.258,0.41700000000000004,0.331
1,2021,オリックス,72,180,154,10,36,4,0,4,52,23,0,0,0,1,22,3,35,7,0.23399999999999999,0.33799999999999997,0.33899999999999997
2,nan,通　算,159,518,456,39,114,16,0,16,178,66,1,0,0,3,54,5,101,16,0.25,0.39,0.33399999999999996
