,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2020,埼玉西武,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,217.0,50.2,48.0,7.0,21.0,3.0,23.0,1.0,0.0,30.0,28.0,4.97
1,2021,埼玉西武,8.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,174.0,36.2,39.0,8.0,26.0,4.0,26.0,4.0,0.0,27.0,27.0,6.63
2,nan,通　算,20.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,391.0,87.1,87.0,15.0,47.0,7.0,49.0,5.0,0.0,57.0,55.0,5.67
