,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2017,千葉ロッテ,19.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.833,315.0,74.2,75.0,11.0,20.0,3.0,48.0,0.0,0.0,28.0,26.0,3.13
1,2018,千葉ロッテ,15.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,373.0,83.2,91.0,12.0,35.0,4.0,55.0,0.0,2.0,57.0,52.0,5.59
2,2019,千葉ロッテ,54.0,5.0,4.0,0.0,20.0,25.0,0.0,0.0,0.0,0.556,248.0,57.2,51.0,9.0,25.0,1.0,60.0,1.0,0.0,28.0,28.0,4.37
3,2020,東北楽天,46.0,3.0,2.0,0.0,12.0,15.0,0.0,0.0,0.0,0.6,188.0,44.1,38.0,4.0,18.0,3.0,34.0,1.0,0.0,20.0,18.0,3.65
4,2021,東北楽天,54.0,4.0,3.0,3.0,28.0,32.0,0.0,0.0,0.0,0.5710000000000001,206.0,51.1,33.0,3.0,24.0,0.0,44.0,1.0,0.0,15.0,13.0,2.28
5,nan,通　算,188.0,19.0,16.0,3.0,61.0,73.0,2.0,0.0,1.0,0.5429999999999999,1330.0,311.2,288.0,39.0,122.0,11.0,241.0,3.0,2.0,148.0,137.0,3.96
