,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2019,広島東洋,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020,広島東洋,41.0,1.0,1.0,0.0,11.0,12.0,0.0,0.0,0.0,0.5,212.0,51.0,37.0,3.0,23.0,1.0,55.0,3.0,0.0,22.0,22.0,3.88
2,nan,通　算,42.0,1.0,1.0,0.0,11.0,12.0,0.0,0.0,0.0,0.5,217.0,52.0,38.0,3.0,24.0,1.0,56.0,3.0,0.0,22.0,22.0,3.81
