,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2019,広島東洋,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,28.2,19.0,1.0,19.0,2.0,33.0,1.0,0.0,15.0,14.0,4.4
1,2020,広島東洋,38.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,166.0,37.2,29.0,1.0,28.0,1.0,48.0,1.0,0.0,23.0,19.0,4.54
2,2021,広島東洋,51.0,0.0,2.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,205.0,49,44.0,4.0,14.0,0.0,51.0,2.0,0.0,20.0,17.0,3.12
3,nan,通　算,114.0,1.0,2.0,0.0,19.0,20.0,0.0,0.0,0.0,0.33299999999999996,498.0,115.1,92.0,6.0,61.0,3.0,132.0,4.0,0.0,58.0,50.0,3.9
