,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2019,広島東洋,34.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.5,188.0,42.2,36.0,1.0,25.0,1.0,38.0,3.0,1.0,19.0,15.0,3.16
1,2020,広島東洋,19.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.455,464.0,107,90.0,13.0,52.0,4.0,97.0,2.0,1.0,53.0,46.0,3.87
2,2021,広島東洋,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.2,9.0,2.0,6.0,1.0,11.0,0.0,0.0,6.0,5.0,6.75
3,2022,広島東洋,20.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,434.0,105.1,104.0,17.0,18.0,3.0,78.0,0.0,0.0,47.0,42.0,3.59
4,nan,通　算,75.0,10.0,14.0,1.0,6.0,7.0,2.0,0.0,1.0,0.41700000000000004,1122.0,261.2,239.0,33.0,101.0,9.0,224.0,5.0,2.0,125.0,108.0,3.71
