,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2020,広島東洋,4,8,8,1,1,1,0,0,2,0,0,0,0,0,0,0,5,1,0.125,0.25,0.125
1,2021,広島東洋,102,376,357,26,95,15,0,10,140,40,0,1,0,1,16,2,93,9,0.266,0.392,0.301
2,nan,通　算,106,384,365,27,96,16,0,10,142,40,0,1,0,1,16,2,98,10,0.263,0.389,0.297
