,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2019,福岡ソフトバンク,12.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,58.0,12.1,13.0,3.0,7.0,3.0,10.0,2.0,0.0,12.0,12.0,8.76
1,2020,福岡ソフトバンク,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.1,3.0,0.0,3.0,2.0,7.0,0.0,1.0,1.0,1.0,2.08
2,nan,通　算,17.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,78.0,16.2,16.0,3.0,10.0,5.0,17.0,2.0,1.0,13.0,13.0,7.02
