,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,千葉ロッテ,45,182,161,26,50,13,1,12,101,33,0,0,0,3,16,2,36,6,0.311,0.627,0.374
1,2015,千葉ロッテ,103,409,353,49,91,18,0,18,163,62,0,1,0,3,49,4,89,9,0.258,0.462,0.35200000000000004
2,2016,千葉ロッテ,134,570,496,81,139,27,0,24,238,92,0,3,0,7,64,3,89,25,0.28,0.48,0.361
3,2017,福岡ソフトバンク,136,545,478,66,125,15,0,35,245,103,3,1,0,3,59,5,119,14,0.262,0.513,0.34700000000000003
4,2018,福岡ソフトバンク,116,469,407,62,97,15,1,29,201,74,0,0,0,3,55,4,93,13,0.23800000000000002,0.494,0.33299999999999996
5,2019,福岡ソフトバンク,130,519,448,61,116,9,0,36,233,88,0,1,0,3,63,5,119,6,0.259,0.52,0.355
6,2020,福岡ソフトバンク,25,97,85,9,19,1,0,6,38,12,0,0,0,0,12,0,11,5,0.22399999999999998,0.447,0.32
7,2021,福岡ソフトバンク,80,308,261,27,69,13,1,10,114,41,0,1,0,1,44,2,64,12,0.264,0.43700000000000006,0.373
8,nan,通　算,769,3099,2689,381,706,111,3,170,1333,505,3,7,0,23,362,25,620,90,0.263,0.496,0.353
