,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2017,福岡ソフトバンク,9,13,12,2,1,0,0,1,4,1,0,0,0,0,1,0,2,0,0.083,0.33299999999999996,0.154
1,2018,福岡ソフトバンク,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,2019,福岡ソフトバンク,12,23,21,4,3,0,0,0,3,1,2,0,1,0,1,0,11,0,0.14300000000000002,0.14300000000000002,0.182
3,2020,福岡ソフトバンク,50,41,35,9,11,2,1,1,18,6,2,2,0,0,4,2,11,0,0.314,0.514,0.415
4,2021,福岡ソフトバンク,79,124,114,18,29,4,1,1,38,8,1,3,2,1,6,1,41,0,0.254,0.33299999999999996,0.295
5,2022,福岡ソフトバンク,29,29,28,3,2,0,0,0,2,0,0,0,1,0,0,0,10,0,0.071,0.071,0.071
6,nan,通　算,180,230,210,37,46,6,2,3,65,16,5,5,4,1,12,3,75,0,0.21899999999999997,0.31,0.27
