,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,日本ハム,3.54,144,73,69,36,58,75,14,13,13,0.514,5359,1277,1196,147,395,11,51,882,37,14,541,503
1,西 武,3.86,144,76,64,33,78,98,13,9,4,0.5429999999999999,5615,1297,1324,114,449,18,68,944,56,0,626,556
2,楽 天,3.89,144,65,76,18,57,75,16,11,11,0.461,5540,1281,1283,104,456,20,64,1064,54,3,607,553
3,オリックス,3.93,144,75,68,34,74,93,7,3,14,0.524,5437,1281,1320,130,329,14,58,923,22,3,605,560
4,ソフトバンク,4.05,144,64,77,27,60,80,21,6,16,0.45399999999999996,5550,1295,1295,128,420,19,54,1087,51,8,641,583
5,ロッテ,4.14,144,73,70,33,78,98,17,6,14,0.51,5481,1277,1326,114,363,28,47,915,34,1,648,588
