,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,オリックス,3.69,143,65,73,37,126,147,2,9,8,0.47100000000000003,5429,1292,1211,127,410,27,45,1029,27,2,565,530
1,日本ハム,3.77,143,74,66,43,121,140,9,9,9,0.529,5405,1275,1242,121,372,22,63,987,37,1,586,535
2,楽　天,3.78,143,58,82,26,84,104,10,10,9,0.414,5482,1289,1201,143,493,36,51,1115,50,1,583,541
3,ソフトバンク,3.9,143,82,60,44,95,121,6,19,4,0.5770000000000001,5423,1277,1132,163,539,11,63,1087,29,2,579,553
4,ロッテ,4.04,143,59,81,30,103,116,8,7,6,0.42100000000000004,5454,1276,1289,129,453,28,30,908,33,2,628,573
5,西　武,4.24,143,88,53,33,88,111,7,9,5,0.624,5515,1277,1230,148,506,5,84,959,44,1,653,602
