,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,オリックス,2.89,144,80,62,41,116,139,10,16,10,0.563,5368,1294,1138,87,419,6,39,1127,46,2,468,415
1,ソフトバンク,3.25,144,78,60,39,130,151,7,9,1,0.565,5436,1303,1134,90,469,12,54,1077,36,7,522,471
2,日本ハム,3.61,144,73,68,33,124,148,8,10,5,0.518,5530,1288,1220,108,499,20,57,1000,46,9,569,517
3,西 武,3.77,144,63,77,32,94,115,9,9,2,0.45,5581,1288,1274,105,515,19,61,914,45,6,600,540
4,楽 天,3.97,144,64,80,24,53,71,11,14,13,0.444,5486,1271,1283,101,455,15,58,1005,49,3,604,561
5,ロッテ,4.14,144,66,76,32,86,106,8,8,4,0.465,5545,1277,1328,122,444,12,57,874,41,7,642,588
